timestamp,BTC_USDT_1h_open,BTC_USDT_1h_high,BTC_USDT_1h_low,BTC_USDT_1h_close,BTC_USDT_1h_volume
2023/4/9 00:00,27943.39,28073.95,27930.31,28035.04,57.560631
2023/4/9 01:00,28035.04,28080,28029.69,28075.72,21.191172
2023/4/9 02:00,28075.72,28080.84,28027.47,28033.86,38.00731
2023/4/9 03:00,28033.86,28047.09,28019.16,28025.87,9.248042
2023/4/9 04:00,28025.87,28038.02,28016.28,28036.28,13.992617
2023/4/9 05:00,28036.28,28066.05,27987.93,27997.74,43.121461
2023/4/9 06:00,27997.74,27997.74,27852.08,27882.11,148.773069
2023/4/9 07:00,27882.11,27916.64,27844.7,27909,115.564034
2023/4/9 08:00,27909,27925,27800.52,27880.83,80.555192
2023/4/9 09:00,27880.83,27940.9,27880.72,27897.42,69.970264
2023/4/9 10:00,27897.42,27910.25,27860.35,27892.09,36.629521
2023/4/9 11:00,27892.09,27934.79,27870.95,27931.18,39.109103
2023/4/9 12:00,27931.18,27972.86,27919.79,27933.3,69.15333
2023/4/9 13:00,27933.3,27933.3,27883.9,27904.88,26.625341
2023/4/9 14:00,27904.88,27921.68,27800.8,27870.24,62.194508
2023/4/9 15:00,27870.24,27918.39,27838.56,27891.9,34.715094
2023/4/9 16:00,27891.9,27942.18,27888.53,27897.24,41.855211
2023/4/9 17:00,27897.24,27924.99,27868.78,27904.24,54.979264
2023/4/9 18:00,27904.24,28047.51,27904.24,28024.1,83.904241
2023/4/9 19:00,28024.1,28281.62,27997.95,28140.18,295.556097
2023/4/9 20:00,28140.18,28158.87,28090.09,28115.8,72.357267
2023/4/9 21:00,28115.8,28476.17,28115.8,28435.49,228.050771
2023/4/9 22:00,28435.49,28526.16,28361.16,28365.08,247.770469
2023/4/9 23:00,28365.08,28424.94,28300,28320,113.257342
2023/4/10 00:00,28320,28417.49,28288.56,28382.68,108.203939
2023/4/10 01:00,28382.68,28382.68,28245.81,28300.47,96.380406
2023/4/10 02:00,28300.47,28345.81,28269.83,28295.92,65.461187
2023/4/10 03:00,28295.92,28314.52,28266.87,28277,80.30912
2023/4/10 04:00,28277,28311.88,28212.59,28227.63,65.824028
2023/4/10 05:00,28227.63,28310,28199,28275.95,112.429608
2023/4/10 06:00,28275.95,28288,28249.71,28271.78,65.430322
2023/4/10 07:00,28271.78,28300,28231.59,28282.94,109.391417
2023/4/10 08:00,28282.94,28369.86,28282.93,28293.11,131.856042
2023/4/10 09:00,28293.11,28342.3,28274,28308.88,49.456077
2023/4/10 10:00,28308.88,28359.51,28293.09,28328.26,60.56086
2023/4/10 11:00,28328.26,28355.84,28291.01,28306.7,74.051596
2023/4/10 12:00,28306.7,28319.18,28261.69,28274.42,70.632475
2023/4/10 13:00,28274.42,28294.79,28163.59,28210.02,196.418452
2023/4/10 14:00,28210.02,28341.66,28192.11,28305.43,144.833478
2023/4/10 15:00,28305.43,28567.89,28305.43,28432.65,420.420735
2023/4/10 16:00,28432.65,29167,28379.12,29038.03,954.349589
2023/4/10 17:00,29038.03,29280,29000.28,29150,1221.000155
2023/4/10 18:00,29150,29292.46,29111.15,29273.86,359.800306
2023/4/10 19:00,29273.86,29292.22,29048.17,29162.78,328.343789
2023/4/10 20:00,29162.78,29210.16,29066.57,29112.07,208.439752
2023/4/10 21:00,29112.07,29279.1,29090.02,29220.34,180.916755
2023/4/10 22:00,29220.34,29783.39,29220.33,29590.74,847.965991
2023/4/10 23:00,29590.74,29764.11,29590.74,29639.2,327.650563
2023/4/11 00:00,29639.2,30000,29594.01,29926.01,535.445347
2023/4/11 01:00,29926.01,30329,29750.01,30193.53,627.984577
2023/4/11 02:00,30193.53,30434.3,29995,30081.47,617.217715
2023/4/11 03:00,30081.47,30119.2,29931.49,30111.16,332.03822
2023/4/11 04:00,30111.16,30163.59,30032.11,30103.55,152.862672
2023/4/11 05:00,30103.55,30147.33,29793.04,29884.43,319.486056
2023/4/11 06:00,29884.43,30087.45,29879.4,30034.2,158.172177
2023/4/11 07:00,30034.2,30157.5,30030.79,30110.28,175.382305
2023/4/11 08:00,30110.28,30145.97,30041.41,30095.93,123.315896
2023/4/11 09:00,30095.93,30095.93,29981.18,30049.98,132.956129
2023/4/11 10:00,30049.98,30135.65,30010.01,30122.51,232.297895
2023/4/11 11:00,30122.51,30122.51,30055.3,30057.2,147.070317
2023/4/11 12:00,30057.2,30200,30006.63,30097,224.818154
2023/4/11 13:00,30097,30259,30072.64,30242.8,264.691073
2023/4/11 14:00,30242.8,30277.31,29976.24,30052.36,246.024586
2023/4/11 15:00,30052.36,30243.74,30042.59,30195.09,190.614649
2023/4/11 16:00,30195.09,30262.49,30096.54,30128.85,150.548202
2023/4/11 17:00,30128.85,30221.31,30031.89,30209.72,145.250564
2023/4/11 18:00,30209.72,30240.61,30154.13,30230.03,105.418242
2023/4/11 19:00,30230.03,30558,30109.61,30123.74,576.260676
2023/4/11 20:00,30123.74,30172.97,29940,30168.99,370.607139
2023/4/11 21:00,30168.99,30247.03,30128.08,30189.14,92.349727
2023/4/11 22:00,30189.14,30270.61,30148.42,30261.85,92.574198
2023/4/11 23:00,30261.85,30270.01,30160.19,30201.23,67.014484
2023/4/12 00:00,30201.23,30351.23,30199.6,30227.9,125.374999
2023/4/12 01:00,30227.9,30288.29,30116.61,30173.93,104.177352
2023/4/12 02:00,30173.93,30173.94,29830,29912.29,386.4149
2023/4/12 03:00,29912.29,29986.6,29857.83,29922.16,135.263933
2023/4/12 04:00,29922.16,29993.9,29888.95,29979.78,71.000786
2023/4/12 05:00,29979.78,30000.37,29900,29922.26,101.127887
2023/4/12 06:00,29922.26,29961.42,29856.59,29935.55,125.873818
2023/4/12 07:00,29935.55,30073.38,29925.79,29989.74,111.696572
2023/4/12 08:00,29989.74,30049.68,29910.57,29914.1,119.416451
2023/4/12 09:00,29914.1,30007.81,29897.23,30007.8,89.421629
2023/4/12 10:00,30007.8,30027.25,29980,29991.72,64.901569
2023/4/12 11:00,29991.72,30016,29940.01,30015.72,96.581886
2023/4/12 12:00,30015.72,30483.05,29929.3,30153.19,1002.150071
2023/4/12 13:00,30153.19,30341.98,29961.87,30050.16,402.893735
2023/4/12 14:00,30050.16,30259.99,30012.71,30023.27,341.833037
2023/4/12 15:00,30023.27,30064.05,29650,29962.68,570.237884
2023/4/12 16:00,29962.68,30029.79,29907.75,29940.81,115.204897
2023/4/12 17:00,29940.81,30088.04,29909.01,30019.32,135.863531
2023/4/12 18:00,30019.32,30054.91,29840.75,29919.01,147.777176
2023/4/12 19:00,29919.01,29940,29752.04,29791.99,191.087985
2023/4/12 20:00,29791.99,29954.99,29770,29945.2,81.724564
2023/4/12 21:00,29945.2,29980,29900.01,29940,61.237183
2023/4/12 22:00,29940,29971.04,29802,29837.69,72.943489
2023/4/12 23:00,29837.69,29940.51,29821.83,29883.65,68.789393
2023/4/13 00:00,29883.65,30039.99,29854.58,29981.1,71.593424
2023/4/13 01:00,29981.1,30081.24,29947.27,30070.13,56.605627
2023/4/13 02:00,30070.13,30200.39,30000.23,30117.46,151.744608
2023/4/13 03:00,30117.46,30117.46,30045.69,30081.52,59.247359
2023/4/13 04:00,30081.52,30105,30048.21,30054.35,32.28929
2023/4/13 05:00,30054.35,30127.73,30045.68,30105.94,42.103961
2023/4/13 06:00,30105.94,30120.03,29996.13,30019.74,76.603509
2023/4/13 07:00,30019.74,30102.56,30000,30072.02,97.529932
2023/4/13 08:00,30072.02,30266.01,30041.38,30191.59,284.561591
2023/4/13 09:00,30191.59,30374.89,30153.47,30207.66,284.181444
2023/4/13 10:00,30207.66,30242.85,30155.17,30208.74,100.173729
